profit,cluster9_cluster4_0,cluster9_cluster4_1,cluster9_cluster4_2,cluster9_cluster7_0,cluster9_cluster7_1,cluster9_cluster7_2,cluster9_cluster12_0,cluster9_cluster12_1,cluster9_cluster12_2,cluster9_cluster15_0,cluster9_cluster15_1,cluster9_cluster15_2,cluster9_cluster37_0,cluster9_cluster37_1,cluster9_cluster37_2,cluster9_cluster38_0,cluster9_cluster38_1,cluster9_cluster38_2,cluster9_cluster44_0,cluster9_cluster44_1,cluster9_cluster44_2,cluster9_cluster49_0,cluster9_cluster49_1,cluster9_cluster49_2
2829.140965632564,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
2818.108317735602,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0
2838.1927856240577,-0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,2.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0
2837.830376540072,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2.0,-0.0,0.0,0.0,-0.0,1.0,-0.0
2794.18885634213,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2846.289641862207,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0
2859.4219952321364,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,2.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2846.3050833546145,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
2827.436666899659,-0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.0,-0.0,0.0,0.0,-0.0,1.0,0.0
2836.928563777986,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2818.8659684570257,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
2836.0333041961826,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.0,-0.0,0.0,0.0,-0.0,1.0,-0.0
2841.666818097224,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
2830.613793813,-0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,2.0,-0.0,0.0,0.0,-0.0,1.0,1.0
