profit,avg_reward44_0,avg_reward44_1,avg_reward44_2
2810.447574,7.428495407,22.16126823,47.44356155
2819.72839,7.428495407,22.16126823,50.53866005
2807.37863,7.428495407,22.16126823,47.44356155
2814.320377,7.428495407,22.16126823,32.99832535
2813.080387,7.428495407,22.16126823,47.44356155
2814.753825,7.428495407,23.91424942,37.13014889
2829.012017,7.428495407,23.91424942,43.92786407
2814.900399,7.428495407,22.16126823,50.53866005
2793.151179,7.428495407,22.16126823,47.44356155
2800.75248,7.428495407,22.16126823,47.44356155
2812.136946,7.428495407,22.16126823,47.44356155
2802.032102,7.428495407,23.75967789,54.8574028
2819.281523,7.428495407,22.16126823,47.44356155
2801.351086,7.428495407,22.16126823,54.8574028
