sample,index,param,time,LEO-score,Gurobi-score,History-score,satisfaction gap,LEO-CPU time,Gurobi-CPU time,LEO-satisfaction,Gurobi-satisfaction,obj_gap1,obj_gap2
insample,Average passenger capacity of vehicles,locality0.2,1721984528.2056413.txt,381.0,424.0,186.0,-0.1014127025306007,10.203002214431763,185.30785202980042,1.0483307349067255,1.2795011020912854,0.0,1.71
insample,Average passenger capacity of vehicles,locality0.2,1721984864.211388.txt,290.0,333.0,135.0,-0.12912525149394913,10.423862934112549,190.2285294532776,1.1480631064365603,1.4665580327383159,0.0,1.71
insample,Average passenger capacity of vehicles,locality0.2,1721985216.8991613.txt,224.0,224.0,18.0,0.0,11.118103265762329,196.79716420173645,11.438089950027761,11.438089950027761,242.51,7.86
insample,Average passenger capacity of vehicles,locality0.2,1721985557.5862372.txt,375.0,375.0,147.0,0.0,14.373404502868652,193.13768768310547,1.5509149037480445,1.5509149037480445,238.96,7.82
insample,Average passenger capacity of vehicles,locality0.2,1721985899.0863428.txt,191.0,191.0,0.0,0.0,17.37678575515747,195.81538891792297,19100.0,19100.0,278.11,8.22
insample,Average travel price of vehicles,locality0.2,1721977305.2390683.txt,488.63201475143427,343.5929248332359,549.0,-0.42211250090083374,19.057173490524292,165.15459656715393,0.10995789739452055,0.37414086294742194,61.09,1.18
insample,Average travel price of vehicles,locality0.2,1721977604.1124864.txt,349.39300441741943,273.54091739643974,549.0,-0.2772869041819083,13.01649808883667,151.78112030029297,0.3635762473954583,0.5017378237255429,63.03,27.73
insample,Average travel price of vehicles,locality0.2,1721977893.773152.txt,315.0142071247101,273.54091739643974,549.0,-0.15161085959059598,16.250943899154663,151.0886743068695,0.42619586687909133,0.5017378237255429,110.31,15.16
insample,Average travel price of vehicles,locality0.2,1721978379.4744139.txt,493.37115216255177,343.5929248332359,549.0,-0.43590498364357405,17.40182328224182,155.92040348052979,0.10132574604733655,0.37414086294742194,86.38,13.2
insample,Average travel price of vehicles,locality0.2,1721978693.241487.txt,512.3712110519409,343.5929248332359,549.0,-0.4912015411411874,26.513519048690796,160.93174648284912,0.06671789028990198,0.37414086294742194,254.29,13.73
insample,Average waiting time of vehicles,locality0.2,1721980806.2220542.txt,2834.6896425943855,2630.2134623419374,2335.6727863104716,-0.07774099166098364,33.38420796394348,157.73581385612488,-0.2136492417586289,-0.12610474237245756,220.66,7.06
insample,Average waiting time of vehicles,locality0.2,1721981114.4356883.txt,121.46073238063265,191.07436291407657,326.2410740195438,0.3643083582132074,14.585241079330444,169.72066164016724,0.6276771417667241,0.41430273145206625,93.88,1.63
insample,Average waiting time of vehicles,locality0.2,1721981435.4784691.txt,242.42206204188435,242.93806977886825,584.4598854663649,0.0021239425258804475,14.366398572921753,165.89854860305786,0.5852103451858071,0.5843274806451094,69.06,6.65
insample,Average waiting time of vehicles,locality0.2,1721981772.7145267.txt,177.7443880520529,71.17623473486881,47.27106246653445,-1.4970331513402029,37.74360513687134,165.70262694358826,-2.759526093092081,-0.5055971888375912,254.29,1.84
insample,Average waiting time of vehicles,locality0.2,1721982132.3318448.txt,239.09764316044212,244.9911345501573,326.2410740195438,0.024054955502700592,27.167356967926025,183.7931365966797,0.26710542216906674,0.24904114021252016,211.46,2.97
insample,Complaint rate of vehicles,locality0.2,1721973720.2206573.txt,15.0,15.0,0.0,0.0,12.196218252182007,159.70475912094116,1500.0,1500.0,55.73,7.95
insample,Complaint rate of vehicles,locality0.2,1721974063.3729815.txt,20.0,15.0,0.0,0.3331112591605596,39.132877588272095,172.7143657207489,2000.0,1500.0,278.69,2.62
insample,Complaint rate of vehicles,locality0.2,1721974393.4788525.txt,9.0,26.0,0.0,-0.6535947712418301,39.49534511566162,164.76749205589294,900.0,2600.0,200.28,2.51
insample,Complaint rate of vehicles,locality0.2,1721974726.7225814.txt,35.0,20.0,18.0,0.7496251874062968,48.157984018325806,165.58826351165771,0.9439200444197667,0.11104941699056078,220.66,6.9
insample,Complaint rate of vehicles,locality0.2,1721975173.9811852.txt,597.0,432.0,866.0,0.38193560334251525,8.507428169250488,168.92867732048035,-0.3106199697463078,-0.5011489474717382,1275.83,6.93
insample,Demand satisfaction rate,locality0.2,1721990299.8699841.txt,162.0,219.0,0.0,-0.2602620884891101,9.841589212417603,183.39507794380188,16200.0,21900.0,48.26,2.26
insample,Demand satisfaction rate,locality0.2,1721990624.7501044.txt,558.0,558.0,315.0,0.0,10.868964672088623,189.91647028923035,0.7714040824100823,0.7714040824100823,55.73,2.58
insample,Demand satisfaction rate,locality0.2,1721990960.8024302.txt,216.0,234.0,12.0,-0.07691978975257469,14.489741802215576,192.0699999332428,16.98584512905912,18.484596169858452,0.0,0.71
insample,Demand satisfaction rate,locality0.2,1721991302.082554.txt,1323.0,1346.0,866.0,-0.017087540211439736,11.81397294998169,196.5086441040039,0.5277075322455861,0.554266117019434,0.0,0.91
insample,Demand satisfaction rate,locality0.2,1721991634.3816006.txt,1386.0,1483.0,1016.0,-0.06540751579557791,9.603879928588867,196.77703881263733,0.3641696439995669,0.45964114526431826,7.29,3.85
insample,Demand satisfaction rate,locality0.4,1721993190.1755433.txt,1754.0,1754.0,1046.0,0.0,24.719178915023804,186.18041062355042,0.676857773826254,0.676857773826254,220.66,4.13
