profit,avg_reward38_0,avg_reward38_1,avg_reward38_2
2398.8327987131997,10.061320304870604,24.741936683654785,40.02319145202637
2397.1410794555813,10.061320304870604,26.3900089263916,36.93427276611328
2423.806139431765,10.061320304870604,22.70582294464111,40.02319145202634
2414.5703989751078,10.061320304870604,22.705822944641117,36.93427276611328
2411.639718076835,10.061320304870604,23.10002422332764,40.02319145202638
2413.518215597924,10.061320304870604,22.705822944641117,36.93427276611328
2402.8464332273743,10.061320304870604,23.10002422332765,40.02319145202634
2429.879813070814,10.061320304870604,22.705822944641117,40.02319145202637
2419.517461091349,10.061320304870604,22.46129322052002,36.93427276611328
2397.133107668924,10.061320304870604,22.705822944641117,40.02319145202637
2405.5126293269886,10.061320304870604,79.72327423095707,39.66605949401856
2418.86552369629,10.061320304870604,40.29149627685547,40.02319145202637
2408.0800088932288,10.061320304870604,23.10002422332764,40.02319145202637
2433.003926860737,10.061320304870591,24.214371681213382,39.28715133666989
